DIVISION_NAME,DEPARTMENT_NAME,ART_SV_NAME,BARCODE,UOM,END_QTY,NORMAL_COST
04 DRY FOOD,0430 SALTED GROCERY,เด็กสมบูรณ์ซีอิ๊วลดโซเดียม300,8850206016129,mL,22,49.533
02 HOME LINE,0210 HOUSEWARE,BHPหลอดคนแฟสีน้ำตาล,8850257550184,pc,16,11.75
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,MSTA ดินสอดำลายไม้เกรด 2B P6,8851907309633,pc,11,15.04
04 DRY FOOD,0420 SWEETED GROCE.2,WBPโอเล่สตรอเบอรี่100ม. 250ก.,8851123422024,g,11,43.056
04 DRY FOOD,0440 BEVERAGE,DOUBLE Cเครื่องดื่มเสาวรส 160,8859077899923,mL,70,11.916
04 DRY FOOD,0420 SWEETED GROCE.2,บันบันลันเตาปูผัดผงกะหรี่ 50ก.,8851016500259,g,18,15.153
04 DRY FOOD,0410 SWEETED GROCE.1,IMP_แมกกาแรตผงฟูดับเบิลแอคชั่น 300 กรัม,8850358372739,g,23,45
04 DRY FOOD,0461 FACE & COSMETICS,NAMIเมจิกไวท์1สเต็ปซีซีครีม,8858718624689,pc,9,23.69
02 HOME LINE,0210 HOUSEWARE,นพมาศธูปมหาลาภใหญ่220PC,8850597100063,pc,11,42
04 DRY FOOD,0410 SWEETED GROCE.1,IMP_บอนอโรมา โกลซีเล็คเต็ด100ก,5904277112914,g,11,142.194
05 FRESH FOOD,0560 PERISHABLE,ออลลี่นมโปรตีนจากพืชรสโกโก้350,8859220494555,mL,3,30.68
04 DRY FOOD,0440 BEVERAGE,ซังซังยูเอชที 300มล แพ็ค 6,8850267800804,mL,6,44.87
04 DRY FOOD,0470 HOUSEHOLD,ไฮยีนขจัดคราบผ้าสีและขาว500 มล,8850092213145,mL,26,30.91
02 HOME LINE,0230 RECREATION,*สูบลมมือขนาด12,8850492001182,,7,95
06 PHARMACY,0620 OVER THE COUNTER,P_ก้านสำลี M 6นิ้ว 50S,8857085000713,pc,6,22
04 DRY FOOD,0410 SWEETED GROCE.1,นิวเกรดสาคูรวมมิตร 400 กรัม,8850122394158,g,18,26.43
04 DRY FOOD,0472 PAPER,สำลีแผ่นเอเวอร์กรีน 50G(MP),8852117121039,g,48,21.04
05 FRESH FOOD,0560 PERISHABLE,WRF โบโลน่าไก่หมูพริก 150 ก.,8859694470031,g,11,19.357
02 HOME LINE,0210 HOUSEWARE,BHP อะไหล่ม็อบฟองน้ำ,8858700810694,pc,3,84
06 PHARMACY,0610 PRESCRIPTION,P_เลโวไซด์เลซิทิซีน5มก10S,8851515607237,pc,2,59.626
04 DRY FOOD,0430 SALTED GROCERY,โลโบผงหมูแดง100กรัม,8850030112318,g,13,23.559
06 PHARMACY,0620 OVER THE COUNTER,P_ดูเร็กซ์เพลย์ 2 IN 1 มาสสาจเจล,5038483273173,,1,306.98
04 DRY FOOD,0460 HBA,ลักส์LQSม่วง ปั้ม 450มล.P1+1,8851932369381,mL,5,162.728
04 DRY FOOD,0430 SALTED GROCERY,DI_โคเรโนคัพหมูบูลโกกิชีส 65ก,8936028643368,g,23,12.187
04 DRY FOOD,0460 HBA,เดทตอลรีเอ็นเนอร์ไจซ์ 450 ก.,9556111986401,mL,18,81.833
04 DRY FOOD,0461 FACE & COSMETICS,พอนด์ส ไบรท์ โฟม ดำ 15ก,8851932466431,g,9,14.853
04 DRY FOOD,0461 FACE & COSMETICS,จุฬาเฮิร์บ เรดออเร้นจ์เซรั่ม6ก,8858882903351,g,11,34.345
06 PHARMACY,0620 OVER THE COUNTER,P_โซลแมค 500 มก 10 เม็ด,8851824385048,,14,38.56
04 DRY FOOD,0472 PAPER,เซลล็อกซ์ ไลน์เฟรนด์ 110ผ. แพ็ค4,8850046285402,sh,6.75,108.29
02 HOME LINE,0210 HOUSEWARE,เบสิโคห่วงอลูทรงเหลี่ยม20หนีบ,8859426095068,pc,1,167
04 DRY FOOD,0472 PAPER,สก็อตต์ คลีนแคร์ 24 ม้วน,8888336024196,pc,3,267.216
02 HOME LINE,0210 HOUSEWARE,3M ฟองน้ำใยขัด 3X4 แพ็ค 3+1,8859272201477,pc,500,27
04 DRY FOOD,0470 HOUSEHOLD,แวนิชคริสตอลไวท์ 710กรัม,8851198925406,g,2,248.83
04 DRY FOOD,0472 PAPER,โซฟีแอ็กทีฟสลิมปีก17.5-16ชิ้น,4903111388073,pc,34,33.35
06 PHARMACY,0620 OVER THE COUNTER,P_โซลแมค ฟอร์ท 60 มล.,8858965400661,mL,2,70.09
04 DRY FOOD,0470 HOUSEHOLD,MAXA ล้างห้องน้ำวอเตอร์ลู900มล,8850563991015,mL,44,24.224
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,THAISTDสมุดปกอ่อนA570G34Sรวมปก,8856885001449,pc,1,14
06 PHARMACY,0620 OVER THE COUNTER,P_แอร์เอ็กซ์ มะนาว แผง4เม็ด,8852673004418,pc,6,5.2
04 DRY FOOD,0420 SWEETED GROCE.2,ทอฟฟี่เฟย์ 125ก,4014400400007,g,19,69.288
05 FRESH FOOD,0560 PERISHABLE,IMP_CCSน้ำแอปเปิ้ล100% 900ML.,7899916906321,mL,5,160.7
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,แฟ้มกระดุมขยายข้าง A4 CDU,8856602091890,pc,12,27
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,กระดาษDOUBLE A 100แผ่น A4/80(M),8856976000597,,9,24.86
