Site,Structure,Root Code,SV,Saleable,Barcode,Description,Barcode Component,SV,Description Component,Quantity,Saleable
11252,42010,100572290,1,Y ,8852052310505,WBPฮานามิข้าวเกรียบกุ้ง 52ก P4 ,8852052110501,0,ข้าวเกรียบกุ้งฮานามิ52Gดังเดิม ,4,Y 
11252,42010,100614981,1,Y ,8851004101703,WBPปาร์ตี้คาราเมล 24ก P6 ,8851004101116,0,ปาร์ตี้คาราเมล 24 กรัม ,6,Y 
11252,42010,100614994,2,N ,2001031790357,WBPโรลเลอร์ต้นตำหรับ54ก P3 ,8850309003231,0,โรลเลอร์ต้นตำหรับ54ก. ,3,Y 
11252,42010,100614994,1,N ,48850309003239,WBPโรลเลอร์ 54ก P12 ,8850309003231,0,โรลเลอร์ต้นตำหรับ54ก. ,12,Y 
11252,42010,100614995,2,N ,48850309003338,WBPโรลเลอร์หัวหอม 54ก P12 ,8850309003330,0,โรลเลอร์หอมทรงเครือง54ก. ,12,Y 
11252,42010,100615377,1,Y ,8850284010422,WBPเมล็ดฟักทองตรามือ28ก.P6 ,8850284010415,0,เมล็ดฟักทองมือ28G(M) ,6,Y 
11252,42010,100615504,1,Y ,98851727002021,WBPปาปริก้ามันฝรั่ง16ก P72 ,8851727902021,0,WBPปาปริก้ามันฝรั่ง 12ก.P12 ,6,Y 
11252,42010,100615505,1,Y ,98851727003011,WBPคอนเน่ข้าวโพดอบกรอบ 14ก P72 ,8851727903011,0,WBPคอนเน่ดั้งเดิม 11ก.P12 ,6,Y 
11252,42010,100626499,1,Y ,8852020219991,WBPอาริงาโตรสดั้งเดิม50ก.P3 ,8852020211124,0,อาริงาโตเกรียบหมึกดั้งเดิม 50ก ,3,Y 
11252,42010,100694289,1,Y ,8851004801061,WBPโดโซะข้าวอบกลมกล่อม 56ก P6 ,8851004801184,0,โดโซะข้าวอบกรอบรสกลมกล่อม 56G(MP) ,6,Y 
11252,42010,100798582,2,N ,8850718902118,WBPตะวันกุ้งกรอบ 67กX16 ลัง ,8850718802111,0,ตะวันรสกุ้งกรอบ56-67กรัม ,16,Y 
11252,42010,100798582,1,Y ,8850718707287,WBPตะวันกุ้งกรอบ67กP3 ,8850718802111,0,ตะวันรสกุ้งกรอบ56-67กรัม ,3,Y 
11252,42010,101058919,1,N ,8852023004266,WBPโก๋แก่ลันเตาวาซาบิ 32ก P6 ,8852023004228,0,โก๋แก่ถั่วลันเตาวาซาบิ 30ก. ,6,Y 
11252,42010,101063627,1,Y ,8850718707294,WBPตะวันรสหมึกสามรส67กP3 ,8850718804764,0,ตะวันรสหมึกสามรส56-67กรัม ,3,Y 
11252,42010,101063627,2,N ,8850718904761,WBPตะวันหมึกสามรส 67กX16 ลัง ,8850718804764,0,ตะวันรสหมึกสามรส56-67กรัม ,16,Y 
